2025-01-13 08:35:27 INFO  [AWT-EventQueue-0] com.motelinteligente.dados.fquartos - Operação bem-sucedida: UPDATE registralocado SET horafim='2025-01-13 08:34:27.986', horainicio='2025-01-13 07:59:27.0', valorquarto=60.0, valorconsumo=0.0, pagodinheiro=60.0, pagopix=0.0, pagocartao=0.0, idcaixaatual=283 WHERE idlocacao=4534
2025-01-13 09:03:15 INFO  [AWT-EventQueue-0] com.motelinteligente.dados.fquartos - Registro inserido com sucesso: ID = 4549, Quarto = 2
2025-01-13 09:25:09 INFO  [http-nio-0.0.0.0-1521-exec-3] c.m.d.MotelInteligenteApplication - Recebeu requisição com corpo: locar 4
2025-01-13 09:25:09 INFO  [http-nio-0.0.0.0-1521-exec-3] com.motelinteligente.dados.fquartos - Registro inserido com sucesso: ID = 4550, Quarto = 4
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: alarmes
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: antecipado
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: caixa
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: configuracoes
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: desistencia
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: funcionario
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: imagens
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: justificativa
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: prevendidos
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: produtos
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: quartos
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: registralimpeza
2025-01-13 09:31:24 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: registralocado
2025-01-13 09:31:24 WARN  [Thread-214] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 09:31:25 WARN  [Thread-214] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 09:31:26 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: registramanutencao
2025-01-13 09:31:26 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: registrareserva
2025-01-13 09:31:26 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: registravendido
2025-01-13 09:31:26 INFO  [Thread-214] c.m.dados.CheckSincronia - Verificando tabela: status
2025-01-13 09:31:26 WARN  [Thread-214] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 09:31:27 WARN  [Thread-214] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 09:31:28 WARN  [Thread-214] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 09:31:29 INFO  [Thread-214] c.m.dados.CheckSincronia - Os bancos de dados não estão sincronizados e foram corrigidos.
2025-01-13 09:33:04 INFO  [AWT-EventQueue-0] com.motelinteligente.dados.fquartos - Operação bem-sucedida: UPDATE registralocado SET horafim='2025-01-13 09:30:34.022', horainicio='2025-01-12 23:37:44.0', valorquarto=120.0, valorconsumo=114.0, pagodinheiro=0.0, pagopix=0.0, pagocartao=234.0, idcaixaatual=283 WHERE idlocacao=4544
2025-01-13 09:55:32 INFO  [AWT-EventQueue-0] com.motelinteligente.dados.fquartos - Operação bem-sucedida: UPDATE registralocado SET horafim='2025-01-13 09:54:42.322', horainicio='2025-01-13 09:03:15.0', valorquarto=60.0, valorconsumo=0.0, pagodinheiro=60.0, pagopix=0.0, pagocartao=0.0, idcaixaatual=283 WHERE idlocacao=4549
2025-01-13 10:20:57 INFO  [AWT-EventQueue-0] com.motelinteligente.dados.fquartos - Operação bem-sucedida: UPDATE registralocado SET horafim='2025-01-13 10:20:00.921', horainicio='2025-01-13 09:25:10.0', valorquarto=60.0, valorconsumo=10.0, pagodinheiro=0.0, pagopix=0.0, pagocartao=70.0, idcaixaatual=283 WHERE idlocacao=4550
2025-01-13 10:31:24 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: alarmes
2025-01-13 10:31:24 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: antecipado
2025-01-13 10:31:24 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: caixa
2025-01-13 10:31:24 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: configuracoes
2025-01-13 10:31:24 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: desistencia
2025-01-13 10:31:24 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: funcionario
2025-01-13 10:31:24 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: imagens
2025-01-13 10:31:24 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: justificativa
2025-01-13 10:31:24 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: prevendidos
2025-01-13 10:31:24 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: produtos
2025-01-13 10:31:24 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: quartos
2025-01-13 10:31:24 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: registralimpeza
2025-01-13 10:31:24 WARN  [Thread-222] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 10:31:25 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: registralocado
2025-01-13 10:31:25 WARN  [Thread-222] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-13 10:31:26 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: registramanutencao
2025-01-13 10:31:26 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: registrareserva
2025-01-13 10:31:26 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: registravendido
2025-01-13 10:31:29 INFO  [Thread-222] c.m.dados.CheckSincronia - Verificando tabela: status
2025-01-13 10:31:29 WARN  [Thread-222] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
